COMPOSITOR,QUANTIDADE_DO,QUANTIDADE_DO_SUST,QUANTIDADE_RE,QUANTIDADE_RE_SUST,QUANTIDADE_MI,QUANTIDADE_FA,QUANTIDADE_FA_SUST,QUANTIDADE_SOL,QUANTIDADE_SOL_SUST,QUANTIDADE_LA,QUANTIDADE_LA_SUST,QUANTIDADE_SI,MEDIA_INTERVALOS,MEDIA_CONTORNO,2_NOTAS_SEGUIDAS,3_NOTAS_SEGUIDAS,MEDIA_DURACAO_NOTAS,MEDIA_DURACAO_PAUSAS,INT_HARM_1,INT_HARM_2,INT_HARM_3,INT_HARM_4,INT_HARM_5,INT_HARM_6,INT_HARM_7,INT_HARM_8,INT_HARM_9,INT_HARM_10,INT_HARM_11,INT_HARM_12,NOTA_DURACAO_<0.5,NOTA_DURACAO_0.5-1,NOTA_DURACAO_1-2,NOTA_DURACAO_2-4,NOTA_DURACAO_>4,PAUSA_DURACAO_<0.5,PAUSA_DURACAO_0.5-1,PAUSA_DURACAO_1-2,PAUSA_DURACAO_2-4,PAUSA_DURACAO_>4
Johann Sebastian Bach,380,37,393,219,131,362,59,431,13,345,408,42,-0.00373948270489249,-0.04985976939856653,95,35,0.3807892004153696,1.3965961486303227,67,60,214,160,168,65,193,145,160,79,14,293,1984,1087,127,12,0,453,133,92,551,0
Johann Sebastian Bach,78,47,113,58,183,44,94,114,40,150,42,171,-0.020287958115183247,-0.004581151832460733,49,2,0.38385655112273814,0.6528906955736226,301,255,169,96,126,104,103,102,126,52,26,69,822,684,23,0,0,197,108,34,30,0
Johann Sebastian Bach,372,48,349,61,503,202,171,265,138,499,19,405,-0.009703504043126684,-0.02345013477088949,59,11,0.42650229048773874,1.5164662084765186,123,200,456,270,398,211,392,304,509,152,75,455,2768,555,302,64,22,156,125,80,175,46
Johann Sebastian Bach,492,37,366,362,60,350,72,464,174,147,258,121,0.008771929824561403,-0.06985055230669265,63,6,0.8013965573238064,0.7522982635342185,60,106,353,356,385,282,483,477,632,269,108,459,399,2178,281,175,46,715,77,57,59,71
Johann Sebastian Bach,131,9,138,124,29,105,27,134,51,69,68,61,-0.018518518518518517,-0.028265107212475632,3,0,0.5102239532619278,0.6058467741935486,7,26,134,52,55,101,70,66,157,38,29,63,526,318,155,26,2,152,49,26,18,3
Johann Sebastian Bach,109,36,229,7,128,16,153,223,11,198,18,190,-0.015483870967741935,-0.1367741935483871,14,0,0.37567160971416297,1.1280864197530867,23,70,340,222,325,99,311,223,312,187,29,409,1068,454,8,21,0,82,71,39,78,0
Johann Sebastian Bach,104,0,118,0,114,96,0,97,0,100,0,94,0.009695290858725761,-0.2590027700831025,37,0,0.603042876901798,2.3333333333333335,20,57,102,111,60,17,77,49,65,36,21,149,134,449,128,11,1,0,0,0,10,2
Johann Sebastian Bach,48,4,44,39,4,32,4,43,16,4,0,32,0.0,-0.046263345195729534,58,2,0.8959810874704494,0.9583333333333334,10,18,16,18,18,12,20,20,18,16,0,26,36,136,59,48,3,4,0,11,0,1
Johann Sebastian Bach,99,19,87,15,88,59,22,77,23,138,20,65,-0.025416301489921123,-0.060473269062226116,34,1,0.3711325160537063,0.5829081632653065,289,373,197,145,166,89,161,117,168,96,45,159,759,363,17,3,0,199,125,40,28,0
Johann Sebastian Bach,51,503,649,63,595,71,633,279,241,643,41,498,-0.002555366269165247,-0.06835604770017036,29,5,0.5261159605421897,1.4973342605470554,44,197,537,443,587,188,482,513,676,203,50,557,2515,1155,875,130,22,116,210,169,121,103
Johann Sebastian Bach,267,35,343,11,298,231,72,320,20,289,89,196,-0.0022851919561243145,-0.08226691042047532,34,0,0.4057027562052687,0.5972222222222222,35,87,152,117,137,72,173,138,129,75,21,149,1319,693,161,16,0,52,81,12,11,0
Johann Sebastian Bach,33,0,26,0,30,27,0,31,0,26,0,26,-0.03535353535353535,-0.04040404040404041,2,0,0.7537688442211056,2.0,0,4,14,10,9,0,11,10,4,2,4,4,0,156,29,10,4,0,0,0,1,0
Johann Sebastian Bach,548,252,868,99,807,82,669,820,96,827,51,874,-0.002592772646248582,0.07162534435261708,67,12,0.5114090516310219,1.0188640132669988,179,274,305,267,296,180,381,341,415,300,81,465,2775,2459,774,139,25,177,52,92,61,20
Johann Sebastian Bach,147,37,188,26,188,44,138,200,10,189,6,205,0.0,0.03328509406657019,4,0,0.31489515545914676,0.41624365482233505,15,3,33,14,30,31,18,49,46,32,12,14,1311,48,13,1,10,166,5,25,0,1
Johann Sebastian Bach,318,68,230,254,62,252,54,326,172,90,204,84,-0.014657210401891253,0.04302600472813239,64,0,0.39874763705103977,0.5767241379310344,32,50,142,84,80,56,60,82,130,18,12,94,1284,792,24,16,0,190,64,30,0,6
Johann Sebastian Bach,158,131,394,1,378,305,8,264,52,342,115,152,-0.007790077900779008,-0.005330053300533005,26,4,0.28903688524590165,0.6913793103448276,107,25,99,65,56,55,77,111,140,35,23,81,2201,197,42,0,0,14,111,12,8,0
Johann Sebastian Bach,183,32,236,23,187,199,30,192,28,240,129,71,0.010216346153846154,-0.001201923076923077,6,0,0.9257257257257256,1.2056530214424959,20,107,323,292,318,116,353,220,317,195,72,404,28,1231,222,147,37,292,179,31,67,115
Johann Sebastian Bach,24,21,25,21,42,11,25,25,17,29,23,38,-0.03863298662704309,-0.0475482912332838,11,0,0.30440158259149375,0.37977602108036873,220,267,67,38,54,48,51,56,91,56,22,45,554,118,2,0,0,166,67,20,0,0
Johann Sebastian Bach,168,61,415,6,249,19,240,410,9,226,12,280,0.0,-0.0696798493408663,138,0,0.5948235294117648,1.7264653641207814,43,100,402,330,302,98,278,237,276,105,42,473,1025,476,512,100,12,46,48,40,413,16
Johann Sebastian Bach,196,128,364,54,318,30,275,329,20,343,23,287,-0.010105263157894737,-0.023157894736842106,102,4,0.383452581369248,0.6729747675962816,12,41,136,76,88,46,114,98,155,52,25,231,1429,907,24,16,0,94,69,85,3,0
Johann Sebastian Bach,56,8,44,64,4,48,4,64,24,12,12,28,0.0,0.043596730245231606,11,2,0.7717391304347826,1.0,0,24,40,48,24,32,20,20,28,4,0,4,0,256,68,44,0,0,0,4,0,0
Johann Sebastian Bach,447,39,415,22,426,293,107,442,34,392,80,298,0.0,-0.08480801335559265,35,0,0.40612483311081443,0.7521097046413502,14,60,156,128,145,59,170,158,163,106,34,244,1867,1001,72,56,0,56,143,2,36,0
Johann Sebastian Bach,360,41,316,428,19,400,5,385,274,75,381,25,-0.006995581737849779,-0.12923416789396172,31,1,0.9329530119003813,2.2043618739903064,64,242,566,424,589,182,734,419,563,355,118,597,645,1079,619,303,71,269,99,55,15,181
Johann Sebastian Bach,80,44,173,6,122,112,25,119,15,167,69,43,0.004106776180698152,-0.12320328542094455,6,0,1.023076923076923,2.8793103448275863,6,40,134,142,155,63,202,148,151,79,14,174,2,497,294,172,10,0,5,16,17,49
Johann Sebastian Bach,23,20,0,15,0,17,0,17,16,0,18,0,0.0,-0.376,6,0,2.0634920634920637,3.0,0,3,20,18,20,6,36,21,25,5,0,36,0,20,5,82,19,0,0,0,2,2
Johann Sebastian Bach,87,51,188,18,150,144,27,131,28,187,97,44,-0.010416666666666666,-0.19444444444444445,14,0,0.9283752529632848,2.609276729559748,3,50,207,179,181,111,230,169,213,95,42,192,363,305,279,196,10,0,20,13,29,44
Johann Sebastian Bach,104,26,165,6,114,23,80,163,14,163,2,141,-0.027216856892010536,0.000877963125548727,56,3,0.695687134502924,0.910695742471443,41,105,208,157,177,82,230,135,210,112,31,245,119,829,174,18,0,353,83,85,121,0
Johann Sebastian Bach,19,0,13,0,28,15,0,22,0,6,0,4,-0.02830188679245283,0.0,4,0,1.1775700934579438,6.0,0,0,9,8,0,2,2,13,17,0,0,0,0,0,96,9,2,0,0,0,0,1
Johann Sebastian Bach,48,28,99,0,82,49,12,39,25,96,15,50,-0.056776556776556776,-0.14285714285714285,12,0,1.0028945764777575,0.6922169811320755,17,44,157,105,77,62,141,80,79,77,9,89,20,305,110,97,15,34,124,54,0,0
Johann Sebastian Bach,29,0,42,0,55,42,0,30,0,0,0,0,0.02030456852791878,0.0,39,0,0.98989898989899,2.8,23,65,68,46,45,0,46,0,0,0,0,0,0,106,84,4,4,0,0,2,4,4
Mily Balakirev,138,326,99,79,107,162,160,107,305,129,157,107,-0.0047021943573667,0.0132109270040304,165,30,0.3801022311767771,0.4491879723428204,151,399,1646,1165,1040,890,1151,731,1071,574,143,2344,3431,768,235,33,0,1415,409,181,68,0
Ludwig van Beethoven,356,128,499,295,165,405,263,434,99,301,367,273,0.0021965952773201,-0.00109829763866,155,34,0.3682894094680312,0.4196741854636593,48,516,1522,958,1001,470,621,675,1142,400,50,1781,4165,946,301,52,0,923,263,141,3,0
Ludwig van Beethoven,71,200,36,171,312,47,306,45,262,224,68,622,-0.0038387715930902,-0.00127959053103,16,0,0.3789574672209785,0.4179292929292929,0,139,721,425,375,230,322,299,559,198,13,1108,2273,605,217,32,0,264,86,45,1,0
Ludwig van Beethoven,150,716,97,488,333,79,263,146,1146,269,136,251,0.0023282887077997,0.0886689949553744,15,10,0.3630940834141598,0.3283051756503083,60,69,694,392,481,495,323,581,600,172,42,1481,4382,501,163,85,24,1119,71,30,19,4
Ludwig van Beethoven,48,30,61,176,20,98,39,66,69,19,164,42,-0.0051169590643274,0.0833333333333333,130,54,0.5385317750182617,0.8954895489548954,139,220,478,335,293,226,294,257,341,230,72,295,566,600,173,28,2,111,103,36,49,4
Ludwig van Beethoven,55,16,56,31,11,52,5,39,6,12,31,30,0.0067396798652064,0.0488626790227464,149,31,0.3602693602693596,0.4308146766169149,25,46,290,198,152,70,161,182,233,45,10,773,793,332,63,0,0,371,83,82,0,0
Ludwig van Beethoven,19,159,65,47,41,43,132,77,82,105,44,86,0.0059925093632958,0.0127340823970037,144,14,0.4576625483589174,0.5362095531587071,240,320,1469,674,683,720,682,583,838,249,106,2061,1566,757,332,16,0,380,172,63,34,0
